news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,"Saturday's Telegraph: ""Meet us halfway on #Brexit, May urges EU"" (via @hendopolis) #tomorrowspaperstoday https://t.co/W8n2Nity2p",2018-03-02 22:15:50,0.0,0.0,1.0,0.0,@BBCNews
,"Saturday's Times: ""Children taught hatred"" (via @hendopolis) #tomorrowspaperstoday https://t.co/GJHHhCtWVK",2018-03-02 22:15:39,-0.6369,0.0,0.656,0.344,@BBCNews
,"Saturday's Star: ""Hash in the attic"" (via @hendopolis) #tomorrowspaperstoday https://t.co/XphypcCYSJ",2018-03-02 22:15:35,0.0,0.0,1.0,0.0,@BBCNews
,"Saturday's Express: ""May: Now let’s get on with it"" (via @hendopolis) #tomorrowspaperstoday https://t.co/Am9kA9GP9p",2018-03-02 22:15:29,0.0,0.0,1.0,0.0,@BBCNews
,"Saturday's Mail: ""The prostate revolution"" (via @hendopolis) #tomorrowspaperstoday https://t.co/HGu1pUjABl",2018-03-02 22:15:25,0.0,0.0,1.0,0.0,@BBCNews
,"Saturday's Mirror: ""Bulger killer given £260k in legal aid"" (via @hendopolis) #tomorrowspaperstoday https://t.co/SYWLc6CybO",2018-03-02 22:15:16,-0.5859,0.089,0.655,0.256,@BBCNews
,"Saturday's Independent: ""May vows to secure 'best trade deal in the world'"" (via @hendopolis) #tomorrowspaperstoday https://t.co/zruFERfjrs",2018-03-02 22:15:03,0.765,0.32,0.68,0.0,@BBCNews
,"Saturday's FT: ""May tells Eurosceptics to face facts"" (via @hendopolis) #tomorrowspaperstoday https://t.co/RGaW1qFlLa",2018-03-02 22:14:54,0.0,0.0,1.0,0.0,@BBCNews
,"Saturday's i: ""Teacher gave terror lessons to UK pupils"" (via @hendopolis) #tomorrowspaperstoday https://t.co/oDgIUsyyOw",2018-03-02 22:14:48,-0.5267,0.0,0.779,0.221,@BBCNews
,"What was the PM's 'hard facts' designed to do? Perhaps to say, 'let's do a deal' https://t.co/UNBCPmljcG",2018-03-02 21:52:42,-0.1027,0.0,0.915,0.085,@BBCNews
,Paramedic attacked in ambulance 'parking row' in Birmingham https://t.co/f2nDUjnWX8,2018-03-02 21:31:46,-0.4588,0.0,0.727,0.273,@BBCNews
,World Indoor Championships 2018: Katarina Johnson-Thompson wins first global gold https://t.co/i6tBy5e2tL,2018-03-02 21:05:47,0.7845,0.434,0.566,0.0,@BBCNews
,"@grouchy55 Hello - yes, we did check, luckily the driver was not hurt.",2018-03-02 20:44:25,0.8306,0.494,0.506,0.0,@BBCNews
,Louis Tomlinson in Twitter row with police over cannabis discovery https://t.co/NOgvQtGMsm,2018-03-02 19:24:57,0.0,0.0,1.0,0.0,@BBCNews
,Barry Bennell: Crewe will not conduct own investigation into abuse https://t.co/V0j1SIWwER,2018-03-02 18:33:27,-0.6369,0.0,0.704,0.296,@BBCNews
,Former sex worker 'vindicated' after High Court win https://t.co/nyIUn78023,2018-03-02 16:36:06,0.5859,0.322,0.678,0.0,@BBCNews
,But not all of the EU like what they’re hearing https://t.co/yH3asaioON,2018-03-02 16:00:23,0.3612,0.2,0.8,0.0,@BBCNews
,First sign that EU ready to deal ... https://t.co/fUPxjmsaDT,2018-03-02 16:00:20,0.3612,0.238,0.762,0.0,@BBCNews
,How a teacher sought to recruit a terror 'death squad' https://t.co/I45BWEWo7V,2018-03-02 15:41:38,-0.8074,0.0,0.49,0.51,@BBCNews
,See ‘recognition of trade offs’ as most important bit of speech today as far as EU concerned https://t.co/PzMKHHf8rH,2018-03-02 15:37:42,0.2716,0.11,0.89,0.0,@BBCNews
,Verdict of Brexiteers; Nothing  definitely bad or irrevocably committed to in PM's speech,2018-03-02 15:37:34,0.2263,0.339,0.476,0.185,@BBCNews
,Brexiteers grit their teeth and smile in response to PM's Brexit speech - even tho little in it for them.,2018-03-02 15:37:26,0.3612,0.122,0.878,0.0,@BBCNews
,Prezzo to close 94 restaurants in rescue bid https://t.co/9wdgJhrsWH,2018-03-02 15:04:32,0.5106,0.292,0.708,0.0,@BBCNews
,Once again what the PM doesn’t say can be as revealing what she does ... https://t.co/qblwh91JG3,2018-03-02 15:00:59,0.0,0.0,1.0,0.0,@BBCNews
,"The UK deal with the EU will be unique, because every trade deal is different, every trade agreement is ""cherry picking"", Theresa May says

https://t.co/bnayw3IWCU #RoadtoBrexit https://t.co/dFAAiDMXBO",2018-03-02 14:58:23,0.4939,0.11,0.89,0.0,@BBCNews
,"Snow, ice and driving winds causing severe disruption across UK

https://t.co/5kBJUqvsCF https://t.co/e4LZwazAP1",2018-03-02 14:43:18,-0.6249,0.0,0.662,0.338,@BBCNews
,"Still the possibility of no deal? PM: ""I have said on many occasions that 'no deal is better than a bad deal'....we are preparing for all possible outcomes."" @BBCNews @bbc5live",2018-03-02 14:32:26,-0.6124,0.081,0.698,0.221,@BBCNews
,"""Change is not to be feared"" #Brexit is chance to ""reaffirm Britain's place in the world"" - PM @Theresa_May on #RoadtoBrexit https://t.co/bnayw3IWCU https://t.co/ClW3RFOgBz",2018-03-02 14:28:27,0.5615,0.188,0.812,0.0,@BBCNews
,May says she won’t accept demands to walk out or the EU ‘despair’ that it’s impossible,2018-03-02 14:25:11,0.3818,0.148,0.852,0.0,@BBCNews
,"The PM does a bit of expectation management about the noise to come: ""there will be ups and downs in the months ahead."" @BBCNews @bbc5live",2018-03-02 14:24:59,0.0,0.0,1.0,0.0,@BBCNews
,Sector by sector analysis by PM of where UK wants special relationship with EU sounds like deal the bloc has with Switzerland .. and it has sworn never to repeat bc so complex to set-up and then monitor 2,2018-03-02 14:24:52,0.6369,0.126,0.874,0.0,@BBCNews
,"Brexit puzzle - When PM promises not to lower regulatory standards to make deal with EU easier is she including those on vacuums, toasters &amp; kettles which many Leavers complain about ?",2018-03-02 14:24:39,0.5842,0.204,0.727,0.07,@BBCNews
,"The PM's big picture rhetoric now: ""The world is watching. we shouldn't think of our leaving the EU marking an ending, but marking a new beginning. Change is not to be feared."" @BBCNews @bbc5live",2018-03-02 14:24:29,0.0,0.0,1.0,0.0,@BBCNews
,"There must be ""no hard border"" in Ireland after #Brexit, Theresa May says, saying UK will commit to keeping standards ""as high"" as the EU's and entering a ""customs arrangement""

https://t.co/bnayw3IWCU #RoadtoBrexit https://t.co/jBb2IsJumz",2018-03-02 14:21:53,-0.1027,0.063,0.833,0.103,@BBCNews
,"""The UK has been clear, it is leaving the customs union"" - PM @Theresa_May on #RoadtoBrexit https://t.co/bnayw3IWCU https://t.co/EdWeGnI0pw",2018-03-02 14:14:40,0.3818,0.14,0.86,0.0,@BBCNews
,"The Prime Minister floats the idea of the UK remaining within European agencies (""associate membership"") that oversee the chemicals, medicines and aerospace industries -- and with it the necessary payments @bbcnews @bbc5live",2018-03-02 14:08:03,0.0,0.0,1.0,0.0,@BBCNews
